,team,date,points,RW,ROW,SOW,goals,goals_against,power_play,penalty_kill,net_ppp,net_pkp,shots,shots_against,FOWp
1098,Boston Bruins,2012/04/21vs WSH,0,0,0,0,3,4,33.3,50.0,33.3,50.0,37.0,32.0,55.2
1099,Ottawa Senators,2012/04/21@ NYR,2,1,1,0,2,0,0.0,100.0,0.0,100.0,30.0,41.0,56.1
1100,Florida Panthers,2012/04/21vs NJD,2,1,1,0,3,0,16.7,100.0,16.7,133.3,32.0,30.0,53.5
1101,Washington Capitals,2012/04/21@ BOS,2,1,1,0,4,3,50.0,66.7,50.0,66.7,32.0,37.0,44.8
1102,Chicago Blackhawks,2012/04/21@ PHX,2,0,1,0,2,1,0.0,100.0,0.0,100.0,38.0,19.0,50.0
1103,St. Louis Blues,2012/04/21vs SJS,2,1,1,0,3,1,0.0,100.0,0.0,100.0,27.0,27.0,48.6
1104,Phoenix Coyotes,2012/04/21vs CHI,0,0,0,0,1,2,0.0,100.0,0.0,100.0,19.0,38.0,50.0
1105,San Jose Sharks,2012/04/21@ STL,0,0,0,0,1,3,0.0,100.0,0.0,100.0,27.0,27.0,51.4
1106,Philadelphia Flyers,2012/04/22vs PIT,2,1,1,0,5,1,33.3,80.0,33.3,80.0,23.0,31.0,54.8
1107,Pittsburgh Penguins,2012/04/22@ PHI,0,0,0,0,1,5,20.0,66.7,20.0,66.7,31.0,23.0,45.2
1108,Boston Bruins,2012/04/22@ WSH,2,0,1,0,4,3,20.0,100.0,20.0,100.0,31.0,39.0,48.8
1109,Washington Capitals,2012/04/22vs BOS,0,0,0,0,3,4,0.0,80.0,0.0,80.0,39.0,31.0,51.2
1110,Vancouver Canucks,2012/04/22vs LAK,0,0,0,0,1,2,25.0,100.0,25.0,100.0,27.0,37.0,42.6
1111,Los Angeles Kings,2012/04/22@ VAN,2,0,1,0,2,1,0.0,75.0,0.0,75.0,37.0,27.0,57.4
1112,New York Rangers,2012/04/23@ OTT,2,1,1,0,3,2,28.6,80.0,28.6,80.0,22.0,27.0,42.2
1113,Ottawa Senators,2012/04/23vs NYR,0,0,0,0,2,3,20.0,71.4,20.0,71.4,27.0,22.0,57.8
1114,Chicago Blackhawks,2012/04/23vs PHX,0,0,0,0,0,4,0.0,50.0,0.0,50.0,39.0,20.0,56.7
1115,Phoenix Coyotes,2012/04/23@ CHI,2,1,1,0,4,0,50.0,100.0,50.0,100.0,20.0,39.0,43.3
1116,New Jersey Devils,2012/04/24vs FLA,2,0,1,0,3,2,25.0,100.0,25.0,100.0,42.0,16.0,51.7
1117,Florida Panthers,2012/04/24@ NJD,0,0,0,0,2,3,0.0,75.0,0.0,75.0,16.0,42.0,48.3
1118,Boston Bruins,2012/04/25vs WSH,0,0,0,0,1,2,0.0,100.0,0.0,100.0,32.0,27.0,45.8
1119,Washington Capitals,2012/04/25@ BOS,2,0,1,0,2,1,0.0,100.0,0.0,100.0,27.0,32.0,54.2
1120,New Jersey Devils,2012/04/26@ FLA,2,0,1,0,3,2,0.0,50.0,0.0,50.0,36.0,45.0,35.1
1121,New York Rangers,2012/04/26vs OTT,2,1,1,0,2,1,0.0,50.0,0.0,50.0,29.0,27.0,51.9
1122,Ottawa Senators,2012/04/26@ NYR,0,0,0,0,1,2,50.0,100.0,50.0,100.0,27.0,29.0,48.1
1123,Florida Panthers,2012/04/26vs NJD,0,0,0,0,2,3,50.0,100.0,50.0,100.0,45.0,36.0,64.9
1124,Nashville Predators,2012/04/27@ PHX,0,0,0,0,3,4,20.0,66.7,20.0,66.7,42.0,24.0,41.0
1125,Phoenix Coyotes,2012/04/27vs NSH,2,0,1,0,4,3,33.3,80.0,33.3,80.0,24.0,42.0,59.0
1126,New York Rangers,2012/04/28vs WSH,2,1,1,0,3,1,0.0,100.0,0.0,100.0,14.0,18.0,52.0
1127,Washington Capitals,2012/04/28@ NYR,0,0,0,0,1,3,0.0,100.0,0.0,100.0,18.0,14.0,48.0
1128,St. Louis Blues,2012/04/28vs LAK,0,0,0,0,1,3,0.0,100.0,-33.3,100.0,29.0,29.0,56.4
1129,Los Angeles Kings,2012/04/28@ STL,2,1,1,0,3,1,0.0,100.0,0.0,133.3,29.0,29.0,43.6
